OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
1828,4515    0830,191,Vacant-True,2681,BENNING RD NE WASHINGTON DC 20002,SC BENNING ROAD LLC,583920,0,583920,583920,0,583920,583920,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,953150,3/10/2022 12:00:00 AM,3/10/2022 12:00:00 AM,583920,583920,,,1/27/2023 8:03:12 AM,583920
1829,3956    0036,192,Vacant-With Permit,23527,2711 13TH ST NE WASHINGTON DC 00000,2711 13TH STREET DEVELOPMENT OWNER LLC,1638660,0,1638660,1638660,0,1638660,1638660,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,7800000,9/21/2022 12:00:00 AM,9/21/2022 12:00:00 AM,1638660,1638660,,,1/27/2023 8:03:12 AM,1638660
1830,0473    7086,192,Vacant-With Permit,0,MAINE AVE SW WASHINGTON DC 20024,DISTRICT OF COLUMBIA,14822490,0,14822490,14822490,0,14822490,14822490,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,14822490,14822490,WHARF PHASE 3 CONDO OWNER LLC,,1/27/2023 8:03:12 AM,14822490
1831,1823    0808,192,Vacant-With Permit,11491,3900 WISCONSIN AVE NW WASHINGTON DC 20016-2806,NASH ROADSIDE 3900 WISCONSIN LLC,558450,0,558450,558450,0,558450,558450,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,558450,558450,,,1/27/2023 8:03:12 AM,558450
1832,0620    0905,091,Vacant-True,6366,L ST NW WASHINGTON DC 20001,TRUSTEES OF THE MOUNT AIRY BAPTIST CHURCH OF WASHINGTON DC,1348000,0,1348000,1348000,0,1348000,1348000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,13643,3/28/2018 12:00:00 AM,3/28/2018 12:00:00 AM,1348000,1348000,,,1/27/2023 8:03:12 AM,1348000
1833,0797    0892,093,Vacant-Zoning Limits,6678,VIRGINIA AVE SE WASHINGTON DC 20003,DISTRICT OF COLUMBIA HOUSING AUTHORITY,1000,0,1000,1000,0,1000,1000,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1000,1000,,,1/27/2023 8:03:12 AM,1000
1834,5508    0806,093,Vacant-Zoning Limits,2463,ANACOSTIA RD SE WASHINGTON DC 20019,CASA PROPERTIES LLC,35840,0,35840,35840,0,35840,35840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,455000,12/22/2021 12:00:00 AM,12/22/2021 12:00:00 AM,35840,35840,,,1/27/2023 8:03:12 AM,35840
1835,5125    0869,091,Vacant-True,4209,4404 LEE ST NE WASHINGTON DC 20019-3833,CARSTENSZ FUND I LLC,140580,0,140580,145670,0,145670,142690,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,288850,11/17/2021 12:00:00 AM,11/17/2021 12:00:00 AM,142690,145670,,312840,1/27/2023 8:03:12 AM,142690
1836,1361    0031,191,Vacant-True,2465,4655 CLARK PL NW WASHINGTON DC 20007,UNITED STATES OF AMERICA,112060,0,112060,112060,0,112060,112060,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,112060,112060,,301487,1/27/2023 8:03:12 AM,112060
1837,5222    0815,091,Vacant-True,3692,EADS ST NE WASHINGTON DC 20019,UNITED STATES OF AMERICA,43380,0,43380,43380,0,43380,43380,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,43380,43380,,,1/27/2023 8:03:12 AM,43380
1838,5740    0849,093,Vacant-Zoning Limits,1784,25TH ST SE WASHINGTON DC 20020,"PHILLIPS, VINCENT L",13700,0,13700,13700,0,13700,13700,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,3000,6/29/2006 12:00:00 AM,6/29/2006 12:00:00 AM,13700,13700,,,1/27/2023 8:03:12 AM,13700
1839,5214    0036,091,Vacant-True,3760,JAY ST NE WASHINGTON DC 20019,WILLIAM E RAY CARE HARRY RAY,22300,0,22300,22300,0,22300,22300,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,22300,22300,,,1/27/2023 8:03:12 AM,22300
1840,5868S   0881,092,Vacant-With Permit,1497,936 HEIGHTS ALY SE WASHINGTON DC 20032-5949,SYCAMORE ASSOCIATES LLC,26080,0,26080,122690,0,122690,26080,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,4880004,1/29/2021 12:00:00 AM,1/29/2021 12:00:00 AM,26080,122690,,,1/27/2023 8:03:12 AM,26080
1841,5839    0002,093,Vacant-Zoning Limits,2388,22ND ST SE WASHINGTON DC 20020,JOHN WILLIS TAYLOR JR TRUSTEE,25150,0,25150,25150,0,25150,25150,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/4/2013 12:00:00 AM,12/4/2013 12:00:00 AM,25150,25150,,,1/27/2023 8:03:12 AM,25150
1842,5222    0807,093,Vacant-Zoning Limits,2418,FOOTE ST NE WASHINGTON DC 20019,"ANDERSON, LOUISE R",11360,0,11360,11360,0,11360,11360,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,11360,11360,,,1/27/2023 8:03:12 AM,11360
1843,5056    0869,091,Vacant-True,4458,PARKSIDE PL NE WASHINGTON DC 00000,PARKSIDE RESIDENTIAL LLC,203940,0,203940,203940,0,203940,203940,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,203940,203940,,,1/27/2023 8:03:12 AM,203940
1844,5868S   0889,092,Vacant-With Permit,2203,916 HEIGHTS ALY SE WASHINGTON DC 20032-5949,SYCAMORE ASSOCIATES LLC,38380,0,38380,132360,0,132360,38380,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,4880004,1/29/2021 12:00:00 AM,1/29/2021 12:00:00 AM,38380,132360,,,1/27/2023 8:03:12 AM,38380
1845,PAR 02400005,195,Vacant-Commercial Use,12532,SOUTH CAPITOL ST SE WASHINGTON DC 20032,B & O RAILROAD COMPANY,21300,0,21300,21300,0,21300,21300,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,21300,21300,,,1/27/2023 8:03:12 AM,21300
1846,3248    0801,093,Vacant-Zoning Limits,34,NEW HAMPSHIRE AVE NW WASHINGTON DC 20011,"ZAPATA, MIGUELINA",1290,0,1290,1290,0,1290,1290,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,319000,8/27/2009 12:00:00 AM,8/27/2009 12:00:00 AM,1290,1290,,,1/27/2023 8:03:12 AM,1290
1847,5633    0894,093,Vacant-Zoning Limits,6468,TOWN CENTER DR SE WASHINGTON DC 20020,SKYLAND OWNERS ASSOCIATION INC,105154,0,105154,105154,0,105154,105154,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,105154,105154,,,1/27/2023 8:03:12 AM,105154
1848,5877    1111,092,Vacant-With Permit,1056,2445 JAMES BANKS RD SE WASHINGTON DC 20020-3740,"HAYES, LASHIANNE L",34120,0,34120,120520,363540,484060,34120,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,380990,8/3/2022 12:00:00 AM,8/3/2022 12:00:00 AM,34120,484060,,317284,1/27/2023 8:03:12 AM,34120
1849,2755N   0811,093,Vacant-Zoning Limits,434,PRIMROSE RD NW WASHINGTON DC 00000,JAIME L HOPE TRUSTEE,3260,0,3260,3260,0,3260,3260,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,4/6/2021 12:00:00 AM,4/6/2021 12:00:00 AM,3260,3260,,,1/27/2023 8:03:12 AM,3260
1850,5194    0827,092,Vacant-With Permit,70668,599 50TH ST NE WASHINGTON DC 20019-5468,PROGRESSIVE NATIONAL BAPTIST CONVENTION INC,3426010,0,3426010,3426010,0,3426010,3426010,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,3426010,3426010,,332112,1/27/2023 8:03:12 AM,3426010
1851,0783    0809,193,Vacant-Zoning Limits,12,3RD ST NE WASHINGTON DC 20002,TRUIT R PROSPER DDS,700,0,700,700,0,700,700,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,1/24/2001 12:00:00 AM,1/24/2001 12:00:00 AM,700,700,,,1/27/2023 8:03:12 AM,700
1852,2560    0054,191,Vacant-True,1000,1740 KALORAMA RD NW WASHINGTON DC 20009,DISTRICT OF COLUMBIA,166380,0,166380,166380,0,166380,166380,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,166380,166380,,,1/27/2023 8:03:12 AM,166380
1853,5840    0005,091,Vacant-True,2355,HARTFORD ST SE WASHINGTON DC 20020,FIRST DC LIENS LLC,41710,0,41710,41710,0,41710,41710,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,2000,2/21/2020 12:00:00 AM,2/21/2020 12:00:00 AM,41710,41710,,,1/27/2023 8:03:12 AM,41710
1854,0507    0104,091,Vacant-True,2403,419 RICHARDSON PL NW WASHINGTON DC 20001,"ANDERSON, TAD S",485330,0,485330,520800,0,520800,490190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,490190,520800,"ANDERSON, TREY S",319124,1/27/2023 8:03:12 AM,490190
1855,2672    0849,091,Vacant-True,702,1453 CONGRESS CT NW WASHINGTON DC 20020,DISTRICT OF COLUMBIA,2840,0,2840,2840,0,2840,2840,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2840,2840,,,1/27/2023 8:03:12 AM,2840
1856,3558    0098,093,Vacant-Zoning Limits,645,BRYANT ST NE WASHINGTON DC 20002,"JACOB, RAYMOND A",3430,0,3430,3430,0,3430,3430,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,3430,3430,,,1/27/2023 8:03:12 AM,3430
1857,PAR 01570027,091,Vacant-True,27787,NE WASHINGTON DC 00000,UNITED STATES OF AMERICA,365400,0,365400,365400,0,365400,365400,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,365400,365400,,,1/27/2023 8:03:12 AM,365400
1858,5229    0003,093,Vacant-Zoning Limits,2700,DIX ST NE WASHINGTON DC 20019,PSI SERVICES III INC,12720,0,12720,12720,0,12720,12720,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,3600000,6/18/2019 12:00:00 AM,6/18/2019 12:00:00 AM,12720,12720,,,1/27/2023 8:03:12 AM,12720
1859,1873    0130,092,Vacant-With Permit,4976,5301 CONNECTICUT AVE NW WASHINGTON DC 20015-1803,5301 CONNECTICUT AVE PROPERTY LLC,963740,0,963740,1655760,0,1655760,963740,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,963740,1655760,,,1/27/2023 8:03:12 AM,963740
1860,5160    0065,093,Vacant-Zoning Limits,2190,MEADE ST NE WASHINGTON DC 20019,"JONES, WILLIE O",9990,0,9990,9990,0,9990,9990,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,3/1/2010 12:00:00 AM,3/1/2010 12:00:00 AM,9990,9990,"JONES, ALICE L",,1/27/2023 8:03:12 AM,9990
1861,5787    0813,093,Vacant-Zoning Limits,682,SHANNON PL SE WASHINGTON DC 20020,"MUHAMMAD, RASHAD",3490,0,3490,3490,0,3490,3490,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,3490,3490,,,1/27/2023 8:03:12 AM,3490
1862,0980    0820,193,Vacant-Zoning Limits,2,NE WASHINGTON DC 00000,"HALLISEY, JOHN M",310,0,310,310,0,310,310,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,310,310,,,1/27/2023 8:03:12 AM,310
1863,1300    0875,193,Vacant-Zoning Limits,1811,37TH ST NW WASHINGTON DC 20007,"2340 WISCONSIN AVE, LLC",39300,0,39300,39300,0,39300,39300,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,32490,9/28/2006 12:00:00 AM,9/28/2006 12:00:00 AM,39300,39300,,,1/27/2023 8:03:12 AM,39300
1864,2661    7003,192,Vacant-With Permit,0,14TH ST NW WASHINGTON DC 20009,DCO 2400 14TH STREET LLC,968000,0,968000,968000,0,968000,968000,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,968000,968000,,,1/27/2023 8:03:12 AM,968000
1865,PAR 02130047,191,Vacant-True,11369,FORT BAKER DR SE WASHINGTON DC 20020,GENERAL PROPERTIES CORPORATION,85490,0,85490,85490,0,85490,85490,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,85490,85490,,,1/27/2023 8:03:12 AM,85490
1866,5969    0208,092,Vacant-With Permit,1934,440 WOODCREST DR SE WASHINGTON DC 20032,WOODCREST CONDOMINIUM V LLC,121690,0,121690,128960,0,128960,124820,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1627986,4/4/2014 12:00:00 AM,4/4/2014 12:00:00 AM,124820,128960,,307627,1/27/2023 8:03:12 AM,124820
1867,5868S   0948,092,Vacant-With Permit,1460,817 SYCAMORE DR SE WASHINGTON DC 20032-5937,SYCAMORE ASSOCIATES LLC,25430,0,25430,122030,0,122030,25430,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,4880004,1/29/2021 12:00:00 AM,1/29/2021 12:00:00 AM,25430,122030,,,1/27/2023 8:03:12 AM,25430
1868,1175    0808,193,Vacant-Zoning Limits,1018,K ST NW WASHINGTON DC 20007,DISTRICT OF COLUMBIA,205550,0,205550,205550,0,205550,205550,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,205550,205550,,,1/27/2023 8:03:12 AM,205550
1869,5139    0806,191,Vacant-True,2912,BENNING RD NE WASHINGTON DC 20019,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),115230,0,115230,115230,0,115230,115230,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,115230,115230,,,1/27/2023 8:03:12 AM,115230
1870,RES 01710000,191,Vacant-True,8441,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,3699860,0,3699860,3699860,0,3699860,3699860,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3699860,3699860,,,1/27/2023 8:03:12 AM,3699860
1871,5793    0805,093,Vacant-Zoning Limits,1479,SE WASHINGTON DC 00000,"BANGURA, KADIJA A",11330,0,11330,11330,0,11330,11330,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,187000,8/6/2013 12:00:00 AM,8/6/2013 12:00:00 AM,11330,11330,,,1/27/2023 8:03:12 AM,11330
1872,3359    0005,091,Vacant-True,5852,6905 WILLOW ST NW WASHINGTON DC 20012,JEMAL'S TP LAND SOUTH LOT LLC,59690,0,59690,66830,0,66830,60630,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,157490,6/16/2015 12:00:00 AM,6/16/2015 12:00:00 AM,60630,66830,,,1/27/2023 8:03:12 AM,60630
1873,5250    0070,093,Vacant-Zoning Limits,2000,55TH ST NE WASHINGTON DC 20019,"CLARK, DARRYL R",9040,0,9040,9040,0,9040,9040,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,9900,8/21/2013 12:00:00 AM,8/21/2013 12:00:00 AM,9040,9040,,311514,1/27/2023 8:03:12 AM,9040
1874,0104S   0012,191,Vacant-True,2333,2021 VIRGINIA AVE NW WASHINGTON DC 20006,DISTRICT OF COLUMBIA,1219510,0,1219510,1219510,0,1219510,1219510,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1219510,1219510,,,1/27/2023 8:03:12 AM,1219510
1875,5581    0001,191,Vacant-True,3,Q ST SE WASHINGTON DC 20020,WASHINGTON LOAN & TRUST COMPANY TRUSTEES,240,0,240,240,0,240,240,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,240,240,,,1/27/2023 8:03:12 AM,240
1876,5130    0048,093,Vacant-Zoning Limits,2513,GRANT ST NE WASHINGTON DC 20019,"LEE, CARROLL D",13370,0,13370,13370,0,13370,13370,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,4/12/2017 12:00:00 AM,4/12/2017 12:00:00 AM,13370,13370,,,1/27/2023 8:03:12 AM,13370
1877,5179    0038,091,Vacant-True,3292,742 50TH ST NE WASHINGTON DC 20019-4813,LITTLE MOUNT ZION CHURCH OF GOD,134450,0,134450,138760,0,138760,136450,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,200000,11/2/2018 12:00:00 AM,11/2/2018 12:00:00 AM,136450,138760,,,1/27/2023 8:03:12 AM,136450
1878,RES 02030000,191,Vacant-True,8696,SE WASHINGTON DC 00000,UNITED STATES OF AMERICA,2588450,0,2588450,2588450,0,2588450,2588450,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2588450,2588450,,,1/27/2023 8:03:12 AM,2588450
1879,PAR 01420116,195,Vacant-Commercial Use,56350,NEW YORK AVE NE WASHINGTON DC 20002,REAL ESTATE & IMPROVEMENT COMPANY OF BALTIMORE,338100,0,338100,338100,0,338100,338100,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,338100,338100,,,1/27/2023 8:03:12 AM,338100
1880,2109    0800,093,Vacant-Zoning Limits,947,28TH ST NW WASHINGTON DC 20008,"OJEDA, NICOLAS",79090,0,79090,79090,2500,81590,79090,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,1380001,9/24/2021 12:00:00 AM,9/24/2021 12:00:00 AM,79090,81590,"OJEDA, DANIELLE",,1/27/2023 8:03:12 AM,79090
1881,1310    0081,093,Vacant-Zoning Limits,1050,39TH ST NW WASHINGTON DC 20007,"WILSON, LINDA D",12920,0,12920,12920,0,12920,12920,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,730000,6/6/2011 12:00:00 AM,6/6/2011 12:00:00 AM,12920,12920,,,1/27/2023 8:03:12 AM,12920
1882,1046NE  0801,191,Vacant-True,3323,PENNSYLVANIA AVE SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,904690,0,904690,904690,0,904690,904690,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,904690,904690,,,1/27/2023 8:03:12 AM,904690
1883,5117    0830,091,Vacant-True,7100,POLK ST NE WASHINGTON DC 20019,JERICHO BAPTIST CHURCH,26770,0,26770,26770,0,26770,26770,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,26770,26770,,,1/27/2023 8:03:12 AM,26770
1884,2906    0813,093,Vacant-Zoning Limits,480,957 RANDOLPH ST NW WASHINGTON DC 20011,"HODGE, SCOTT",2380,0,2380,2380,0,2380,2380,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,9/10/2021 12:00:00 AM,9/10/2021 12:00:00 AM,2380,2380,,,1/27/2023 8:03:12 AM,2380
1885,PAR 00730010,191,Vacant-True,56131,MANCHESTER LN NW WASHINGTON DC 20011,UNITED STATES OF AMERICA,1697960,0,1697960,1697960,0,1697960,1697960,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1697960,1697960,,,1/27/2023 8:03:12 AM,1697960
1886,5355    0802,091,Vacant-True,1672,SE WASHINGTON DC 00000,DISTRICT OF COLUMBIA,44580,0,44580,44580,0,44580,44580,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,44580,44580,,,1/27/2023 8:03:12 AM,44580
1887,1280    0086,091,Vacant-True,18861,3233 RESERVOIR RD NW WASHINGTON DC 20007,ROBERT M BASS TRUSTEE,1452670,0,1452670,1452670,0,1452670,1452670,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,4/21/2011 12:00:00 AM,4/21/2011 12:00:00 AM,1452670,1452670,ANNE T BASS TRUSTEE,,1/27/2023 8:03:12 AM,1452670
1888,5318    0252,092,Vacant-With Permit,109329,IVORY WALTERS LN SE WASHINGTON DC 20019,DISTRICT OF COLUMBIA HOUSING AUTHORITY,956630,0,956630,1114060,0,1114060,971930,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,971930,1114060,,,1/27/2023 8:03:12 AM,971930
1889,1177    0037,193,Vacant-Zoning Limits,8268,K ST NW WASHINGTON DC 20007,DISTRICT OF COLUMBIA,1669640,0,1669640,1669640,0,1669640,1669640,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1669640,1669640,,,1/27/2023 8:03:12 AM,1669640
1890,0554W   0801,191,Vacant-True,3555,1305 NEW JERSEY AVE NW WASHINGTON DC 20001,DISTRICT OF COLUMBIA,744990,270,745260,744990,270,745260,744990,270,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,745260,745260,,,1/27/2023 8:03:12 AM,745260
1891,6249    0879,091,Vacant-True,1786,SOUTHERN AVE SE WASHINGTON DC 20032,JOHENNING BAPTIST CHURCH,6610,0,6610,6610,0,6610,6610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/15/1998 12:00:00 AM,12/15/1998 12:00:00 AM,6610,6610,,,1/27/2023 8:03:12 AM,6610
1892,5148    0808,093,Vacant-Zoning Limits,2266,708 48TH ST NE WASHINGTON DC 20019,LRMBC ENTERPRISE LLC,10760,0,10760,10760,0,10760,10760,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,90000,4/4/2018 12:00:00 AM,4/4/2018 12:00:00 AM,10760,10760,,319450,1/27/2023 8:03:12 AM,10760
1893,1280    0992,093,Vacant-Zoning Limits,130,SUTERS LA NW WASHINGTON DC 20007,"MAGUIRE, DOUGLAS M",9570,0,9570,9570,0,9570,9570,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,12/9/2016 12:00:00 AM,12/9/2016 12:00:00 AM,9570,9570,"BEALE, KATHLEEN C",,1/27/2023 8:03:12 AM,9570
1894,5565    0049,091,Vacant-True,6930,1517 YOUNG ST SE WASHINGTON DC 00000,RUPSHA 2011 LLC,166390,0,166390,178790,0,178790,170690,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,2/26/2019 12:00:00 AM,2/26/2019 12:00:00 AM,170690,178790,,331139,1/27/2023 8:03:12 AM,170690
1895,3663    0007,191,Vacant-True,1791136,HAREWOOD RD NE WASHINGTON DC 20017,THE CATHOLIC OF AMERICA,130036470,0,130036470,130036470,0,130036470,130036470,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,130036470,130036470,,336224,1/27/2023 8:03:12 AM,130036470
1896,2794    0860,191,Vacant-True,2,NICHOLSON ST NW WASHINGTON DC 20011,"REST, EDWARD F",120,0,120,120,0,120,120,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,120,120,,,1/27/2023 8:03:12 AM,120
1897,1701    0031,091,Vacant-True,7500,2932 NEW MEXICO AVE NW WASHINGTON DC 20016-3517,"BUCKLEY, JOHN M",1017000,0,1017000,1055930,0,1055930,1029900,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1029900,1055930,"BENNETT, ANNA M",264392,1/27/2023 8:03:12 AM,1029900
1898,0633    0099,191,Vacant-True,1174,NW WASHINGTON DC 00000,UNITED STATES OF AMERICA,527380,0,527380,527380,0,527380,527380,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,527380,527380,,,1/27/2023 8:03:12 AM,527380
1899,5876    0804,191,Vacant-True,3300,SHERIDAN RD SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,197800,0,197800,197800,0,197800,197800,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,197800,197800,,,1/27/2023 8:03:12 AM,197800
